Category_Url,Product_url,ratings,reviewCounts,documents
https://www.walmart.com/cp/exercise-and-fitness/4134,https://www.walmart.com/ip/Athletic-Works-Speed-Jump-Rope/926546248,4.4,100,"Athletic Works Speed Jump Rope Get a nice, intense workout in the comfort of your own home with this Athletic Works 9' Speed Jump Rope. It features an ergonomic slim handle design for balance and speed. The frictionless smooth rotation of this speed skipping rope ensures faster spins so that you can burn more fat. For incredible cardio workouts, this item is the right choice. It is small and lightweight enough for you to take with you to the park, beach, while on vacation and more. This Athletic Works jump rope helps increase your agility, coordination, and endurance, while maintaining good health. It is ideal for boxers, MMA fighters and other types of athletes and weekend warriors. For the money, five stars. Not to be confused with something that might cost you 100 bucks. But it is adjustable, provided you know what length you are comfortable with. Once you cut it, you cannot redo it. So, measure twice and cut once (or go in increments). Pull the excess thru from the handle end with pliers, and use scissors or a wire cutter. Vinyl rope will last long. Light-weight, good for cardio. Only bought this recently, so I don't know how well the entire construction of the handle and rope will last. But for under 7 bucks, it's a great investment in fitness gear. It is missing a handle. So it is totally useless"
https://www.walmart.com/cp/exercise-and-fitness/4134,https://www.walmart.com/ip/Stamina-Ab-Wheel/51077983,4.2,69,"Stamina Ab Wheel Get the sculpted core and the toned upper body you've always wanted with Stamina Ab Wheel. It targets your arms, shoulders, back and abdomen all at once with one simple move. It's a smart alternative to crunches and sit-ups to tighten your body and strengthen your muscles, without having to leave your home. This ab roller features dual traction control wheels for increased stability and has soft, foam-grip handles that mold to your hands. It's easy to use for beginners and professionals. wanted to try something new. heads up though, if you aren't experienced in working out and with strong abdominal muscles, then this probably isn't for you. after putting it together, there are too much free space between the handles so the wheel wobbles a lot.  i had to put a spacer in between the wheels to use it.   should get it from the store so you can inspect it first."
https://www.walmart.com/cp/exercise-and-fitness/4134,https://www.walmart.com/ip/The-Step-Original-Aerobic-Platform-Health-Club-Size-Four-Original-Risers-and-Streaming-Videos/2590792,4.8,295,"The Step Original Aerobic Platform, Health Club Size, Four Original Risers, and Streaming Videos Achieve total-body fitness with The Step Original Aerobic Platform, Health Club Size, the same step used in fitness clubs across the country. This set includes a teal nonslip platform with premium cushion top, four original purple risers, and instructional streaming videos to create the foundation of any workout program. The Original Health Club Size platform features a wide 40? L x 14? W x 4? H stepping surface with a nonslip top for added safety and a comfort cushion (non-latex) top that is easy on the hands, feet, and back. Burn more calories the higher you step with 4in. to 6in to 8in platform height options using the 16in L x 16in W x 2in H risers. These sturdy risers can be used on any type of indoor flooring from carpet to concrete to hardwood without leaving behind scratches. The Step is a great home-fitness tool for beginners to experts and is customizable for a variety of aerobic and strength exercises. This set is crafted from durable, recyclable high-density polyethylene that supports up to 300 pounds (or up to 500 lbs with risers). This product is backed by a 90-day manufacturer's warranty period. This is a gym quality step with four risers.  Very solid and substantial and does not move around during step aerobics or body pump classes online.  Definitely recommend this.  It's worth paying a little more to have the quality and stability. I love my step it is strong and does not slide when I step on it. I love it"
https://www.walmart.com/cp/exercise-and-fitness/4134,https://www.walmart.com/ip/Everyday-Essentials-All-Purpose-1-2-Inch-High-Density-Foam-Exercise-Yoga-Mat-Anti-Tear-with-Carrying-Strap-Blue/275846958,-1,-1,
https://www.walmart.com/cp/exercise-and-fitness/4134,https://www.walmart.com/ip/Tone-Fitness-Yoga-Kit/55121662,3.9,14,"Tone Fitness Yoga Kit The Tone Fitness Yoga Kit offers all you need to get started in Yoga or expand your current routine. The yoga mat provides a comfortable, slip-resistant surface that is ideal for yoga, Pilates, floor stretching, abdominal exercises and pushups. This lightweight and durable yoga mat is suitable for home, travel or studio use. The added Yoga Block and Strap are a great way for beginners to get a little assistance in getting a great stretch without overdoing it and itermediate/advanced yogi are able to use them for a more advanced stretches and longer holds. After completing your routine, simply roll up and store everything in the included carry bag until next time! For the price this is an excellent beginning yoga equipment.  Yes, I could wish the yoga mat was thicker but I am just starting yoga so this is a good start.  Thank you. It comes with the carry case n mat n strap n block but the block doesnt fit in the carry case :( :("
https://www.walmart.com/cp/exercise-and-fitness/4134,https://www.walmart.com/ip/Gaiam-Zafu-Meditation-Cushion/884807438,4.8,41,"Gaiam Zafu Meditation Cushion The Gaiam Zafu Meditation Cushion - Purple is designed to improve your position during meditation by stacking your spine while relieving pressure from your knees, ankles, and back. Filled with buckwheat hulls that gently conform to your body's shape and a removable microfiber cotton cover with an easy-to-carry handle. The internal fill bag also has a zipper so you can add or remove filling. Use with or without our coordinating Gaiam Zabuton Meditation Cushion. <div class=""review-text""><p>Exactly what I wanted! Perfect for meditation, or just sitting on the floor. Helps keep my spine and pelvis aligned, and I love the color! I've had it for about a month, and it's been serving me well.</p></div> <div class=""review-text""><p>Okay this Gaiam Zafu Meditation cushion is by far the most comfortable cushion I have ever experienced. so supportive to the back and hips. Allowing for the most comfort during a good meditation session.  I'm beyond happy with this purchase.  Good price . Great quality! Very descent on delivery time.</p></div>"
https://www.walmart.com/cp/exercise-and-fitness/4134,https://www.walmart.com/ip/Athletic-Works-65cm-Exercise-Yoga-Ball/897246830,4.1,99,"Athletic Works 65cm Exercise Yoga Ball Whether you're training at home or in the gym, the Athletic Works 65cm Exercise Yoga Ball line will make the ideal workout partner to help you stay in shape. It's ideal for training, toning and strengthening your core muscles. This Athletic Works exercise ball will help to develop your overall balance, flexibility and coordination and help you on the road to a fit and healthy you. The collection is made from a high-quality slip-resistant material, which is gentle on the skin while you're using it. The anti-burst yoga ball targets the abs and lower back as well as tightens your core which can help improve your posture and alleviate back pain. It's also ideal for upper body exercises to strengthen the arms, chest and shoulders. This Athletic Works 65cm Exercise Yoga Ball is just the right piece of equipment for low-impact workouts for any fitness level. It's made of durable material and includes an air pump and exercise guide to help get you started. Available in other sizes. Great ball! Has lasted us about three years and we haven't had to refill any air. Its a little lower now than it was initally but it serves its purpose. We use it to sit on inbetween reps and it has survived my barbarian 300lb husband for the three years that we've had it. This was a god send when I was pregnant and i want one for work now. This is terrible. I bought this one and half month ago.. My 10 year old was doing his routine exercise and guess what!! the ball bursted. It could not even survive 80 lb load? We have used so many balls so far but never saw or heard one bursting. They claim it's made out of so called 'anti-burst material'. Total lie. 
Do not buy this.."
https://www.walmart.com/cp/exercise-and-fitness/4134,https://www.walmart.com/ip/Tone-Fitness-5mm-24-x-68-Yoga-Mat-Multiple-Colors/39201366,4.3,171,"Tone Fitness 5mm 24"" x 68"" Yoga Mat, Multiple Colors Experience a non-slip surface that allows you to focus on your poses with the Tone Fitness 24"" x 68"" Yoga Mat. The extra padding supports your body as you stand and stretch out. It is made without phthalates and weighs just over 2 pounds for lightweight carrying on your way to class. This 5mm thick yoga mat makes it easy to practice your poses anywhere, even outside in the fresh air. The top is decorated with a beautiful graphic image. It is available in two bright colors. Pair it with accessories from Tone Fitness, such as stability balls, neoprene dumbbell sets, walking dumbbells, walking weights, wrist weights, weighted vests, weight gloves and more (available separately).   Very well made. Looks great and works great for my daily yoga. When the mat is unrolled, it has an awful odor. It made me feel sick when doing floor exercises when my head was on it!  I took it out of my car and 24 hrs later, my car still wreaks of that atrocious smell! I am thinking of returning it."
https://www.walmart.com/cp/exercise-and-fitness/4134,https://www.walmart.com/ip/CAP-Yoga-Reversible-Yoga-Mat-5mm-with-Carry-Strap-Dahlia-Ginkgo/686576356,4,27,"CAP Yoga Reversible Yoga Mat (5mm) with Carry Strap, Dahlia/Ginkgo Increase the comfort and tranquility of your floor exercises with the CAP Yoga Mat. Beautiful, practical and comfortable, it provides 5mm of soft, textured surface that is well suited for Pilates and floor stretching exercises. This lightweight and durable mat is suitable for home, gym or studio use and is easy to transport using the included carry strap. After completing your routine, simply roll up and store until next time. Choose a Dahlia print on mustard backdrop or the reverse side Ginkgo print on London stone backdrop to match your mood. Love the design and bright color. Thick enough to workout. I really like it and I am pleased with my order. The mat is lightweight and easy to handle, but it started to break down the first time I used it. Little bits and pieces break off the surface whenever I exercise using the mat."
https://www.walmart.com/cp/recreation/1224931,https://www.walmart.com/ip/Spikeball-3-Ball-Set-Includes-playing-net-3-balls-drawstring-bag-and-rule-book/50014242,4.7,67,"Spikeball 3 Ball Set. Includes playing net, 3 balls, drawstring bag and rule book <p></p> Easy to set up and fun to play...kids loved it!! Net was torn same price as on tube company website ordered it direct"
